time;;;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-x;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-y;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-z;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-w;LT Upper arm Accel Sensor X (mG);LT Upper arm Accel Sensor Y (mG);LT Upper arm Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-z (mGauss);LT Upper Arm Course (deg);LT Upper Arm Pitch (deg);LT Upper Arm Roll (deg);Noraxon MyoMotion-Segments-Forearm LT-Orientation-x;Noraxon MyoMotion-Segments-Forearm LT-Orientation-y;Noraxon MyoMotion-Segments-Forearm LT-Orientation-z;Noraxon MyoMotion-Segments-Forearm LT-Orientation-w;LT Forearm Accel Sensor X (mG);LT Forearm Accel Sensor Y (mG);LT Forearm Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-z (mGauss);LT Forearm Course (deg);LT Forearm Pitch (deg);LT Forearm Roll (deg);Noraxon MyoMotion-Segments-Hand LT-Orientation-x;Noraxon MyoMotion-Segments-Hand LT-Orientation-y;Noraxon MyoMotion-Segments-Hand LT-Orientation-z;Noraxon MyoMotion-Segments-Hand LT-Orientation-w;LT Hand Accel Sensor X (mG);LT Hand Accel Sensor Y (mG);LT Hand Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-z (mGauss);LT Hand Course (deg);LT Hand Pitch (deg);LT Hand Roll (deg);Noraxon MyoMotion-Segments-Object 1-Orientation-x;Noraxon MyoMotion-Segments-Object 1-Orientation-y;Noraxon MyoMotion-Segments-Object 1-Orientation-z;Noraxon MyoMotion-Segments-Object 1-Orientation-w;LT Object 1 Accel Sensor X (mG);LT Object 1 Accel Sensor Y (mG);LT Object 1 Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-x (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-y (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-z (mG);Noraxon MyoMotion-Segments-Object 1-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Object 1-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Object 1-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Object 1-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Object 1-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Object 1-Magnetometer-z (mGauss);LT Object 1 Course (deg);LT Object 1 Pitch (deg);LT Object 1 Roll (deg);LT RacketHand_x (deg);LT RacketHand_y (deg);LT RacketHAnd_z (deg);LT Elbow Flexion (deg);Noraxon MyoMotion-Joints-Elbow LT-Extension (deg);LT Wrist Flexion (deg);Noraxon MyoMotion-Joints-Wrist LT-Extension (deg);LT Wrist Radial (deg);LT Wrist Supination (deg);Noraxon MyoMotion-Body Orientation-x;Noraxon MyoMotion-Body Orientation-y;Noraxon MyoMotion-Body Orientation-z;Noraxon MyoMotion-Body Orientation-w;Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-x (mm);Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-y (mm);Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-z (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-x (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-y (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-z (mm);Noraxon MyoMotion-Trajectories-Elbow LT-x (mm);Noraxon MyoMotion-Trajectories-Elbow LT-y (mm);Noraxon MyoMotion-Trajectories-Elbow LT-z (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-x (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-y (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-z (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-x (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-y (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-z (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-x (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-y (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-z (mm);Noraxon MyoMotion-Trajectories-Body center of mass-x (mm);Noraxon MyoMotion-Trajectories-Body center of mass-y (mm);Noraxon MyoMotion-Trajectories-Body center of mass-z (mm)
0;;;0,67296316;0,220300316;0,330792476;0,623830662;976,0742188;-63,90380859;218,2617188;3,062352358;-12,63218561;2,134624199;7,2734375;-12,5625;-4,10546875;-1,080078125;-0,018234253;0,331542969;133,9384722;-0,161762678;9,808913371;0,361500134;0,066994213;0,391599933;0,843492099;535,6445313;767,0898438;342,2851563;-8,486998266;-3,878927102;-3,800248335;8,484375;9,984375;-9,109375;-0,269042969;-1,116210938;-0,082885742;144,5973274;46,85780249;14,40447339;0,403675121;-0,753599647;0,062249398;0,515032991;425,78125;690,4296875;577,1484375;-10,90320354;-2,840594191;-4,532172133;7,3359375;11,421875;-4,41015625;-0,330322266;-1,126953125;-0,388916016;-125,0679062;-27,4989309;68,71533107;0,022964346;-0,685250154;0,441730783;0,578600709;-495,8496094;578,6132813;637,2070313;4,279743127;4,137573186;-6,693637734;-1,311523438;8,3671875;-4,421875;0,810546875;-0,73828125;-0,202880859;-129,2792016;3,428891451;125,4404052;-58,01112738;21,83837709;-55,36524453;47,93678953;-47,93678953;-5,101776609;5,101776609;23,59108163;-22,0198975;0,539398496;0,457219054;0,457219054;0,539398496;88,43385174;231,3158369;1128,967689;120,5640965;265,5605683;1144,693851;102,6236844;250,5696392;1133,913526;249,8339348;133,3323784;997,2909607;252,9394878;157,511371;967,9650737;354,4655032;12,51052146;899,0794517;35,73005796;-5,908730742;995,1169458
0,005;;;0,672613093;0,220510284;0,331010173;0,624018515;978,0273438;-61,09619141;218,0175781;5,500031063;-12,24286573;3,803644143;7,3828125;-12,4765625;-4,01171875;-1,080078125;-0,018234253;0,331542969;133,905042;-0,118391299;9,792407461;0,361112917;0,067096981;0,391893746;0,843513336;529,7851563;771,9726563;345,4589844;-2,507334052;-7,672632275;-2,056691161;8,6328125;9,8359375;-8,8359375;-0,269042969;-1,116210938;-0,082885742;144,5546923;46,90240132;14,39356932;0,403707142;-0,753586133;0,062659298;0,514977957;418,2128906;678,2226563;582,5195313;-2,247414971;6,647777244;-13,0006313;7,3203125;11,5078125;-4,1953125;-0,330322266;-1,126953125;-0,388916016;-125,1158989;-27,49963947;68,75868496;0,022747479;-0,68526611;0,44189867;0,578462165;-492,1875;581,0546875;633,7890625;-1,107816202;3,992085643;-9,270724788;-1,109375;8,3671875;-4,08203125;0,810546875;-0,73828125;-0,202880859;-129,2781651;3,427519206;125,4756828;-58,01304096;21,80569523;-55,37101182;47,93567802;-47,93567802;-5,100939966;5,100939966;23,58775995;-22,03113898;0,539398496;0,457219054;0,457219054;0,539398496;88,53068653;231,1048522;1128,963455;120,6345707;265,3799017;1144,677399;102,7071186;250,370647;1133,901014;250,0342593;133,1239677;997,4106735;253,139625;157,2885767;968,0729134;354,763687;12,30001241;899,3061094;35,73502321;-5,916385236;995,1184868
0,01;;;0,672260014;0,220721699;0,331228995;0,624208105;980,46875;-54,74853516;218,2617188;11,49897523;-11,479587;5,828286712;7,37890625;-12,1796875;-4,07421875;-1,080200195;-0,018032074;0,332366943;133,8713973;-0,074667264;9,775703296;0,360722026;0,067200535;0,392189176;0,843535037;529,296875;775,390625;346,9238281;-1,33430715;-8,377839665;0,834640273;8,3359375;9,890625;-8,7265625;-0,268035889;-1,116943359;-0,081886292;144,5117054;46,94741065;14,38246012;0,403738215;-0,753572628;0,06307307;0,514922844;408,9355469;673,828125;579,5898438;3,000803584;5,164232584;-21,65377478;7,66796875;10,7734375;-4,078125;-0,330993652;-1,126953125;-0,388397217;-125,1642617;-27,50025138;68,80252169;0,022526726;-0,685281593;0,4420676;0,578323372;-488,5253906;580,5664063;630,3710938;-4,233871397;4,556605472;-13,57035889;-1,202148438;8,46875;-4,03515625;0,810546875;-0,737426758;-0,20211792;-129,2768834;3,426230533;125,5113606;-58,01491999;21,77256654;-55,37686477;47,93459612;-47,93459612;-5,100096594;5,100096594;23,58447262;-22,04243314;0,539398496;0,457219054;0,457219054;0,539398496;88,62835746;230,8919611;1128,959351;120,7057032;265,1975244;1144,6609;102,7913036;250,1698179;1133,888525;250,2360594;132,9134494;997,5316809;253,3412869;157,0634782;968,181903;355,0639455;12,08710888;899,5352707;35,7400281;-5,924113964;995,1200485
0,015;;;0,671904159;0,220934426;0,331448776;0,624399304;981,4453125;-55,6640625;216,4306641;10,1438907;-12,45995392;6,438012328;7,35546875;-12,140625;-4,0234375;-1,080444336;-0,017627716;0,334014893;133,8375612;-0,030621013;9,758809894;0,360327714;0,067304813;0,392486009;0,84355719;532,2265625;773,9257813;345,703125;-4,772741292;-5,495212599;0,841597321;7,796875;9,859375;-8,34375;-0,266021729;-1,118408203;-0,07988739;144,4683934;46,99280063;14,37114917;0,403768281;-0,753559143;0,063490443;0,514867708;406,25;677,734375;576,171875;2,645942949;0,099006342;-22,07875354;8,015625;10,25;-3,857421875;-0,332336426;-1,126953125;-0,387359619;-125,2129602;-27,50076221;68,84681428;0,022302109;-0,685296583;0,44223742;0,578184463;-487,0605469;580,078125;625;-6,584096474;2,273797575;-18,01472163;-1,506835938;8,5546875;-3,9609375;0,810546875;-0,735717773;-0,200592041;-129,2753423;3,425027871;125,5474208;-58,01676305;21,73900137;-55,38280725;47,93354567;-47,93354567;-5,09924511;5,09924511;23,58122454;-22,05377153;0,539398496;0,457219054;0,457219054;0,539398496;88,72679247;230,6773036;1128,955382;120,7774406;265,0135551;1144,644366;102,8761768;249,9672833;1133,87607;250,4391878;132,70096;997,653906;253,5443271;156,8362196;968,2919723;355,3660556;11,87193967;899,7667927;35,74506894;-5,93191192;995,12163
0,02;;;0,671527576;0,221161207;0,331684158;0,624599115;981,9335938;-51,57470703;214,84375;13,77850529;-13,05902105;6,305611937;7,37890625;-11,9921875;-3,73046875;-1,080688477;-0,017223358;0,335662842;133,8013158;0,015863462;9,74107236;0,359912145;0,067415709;0,392803683;0,843577878;529,7851563;772,4609375;345,703125;-3,912264382;-5,077711343;-1,582365232;7,35546875;9,796875;-8,1484375;-0,264007568;-1,119873047;-0,077888489;144,4221997;47,04059626;14,35934944;0,403803667;-0,753543689;0,063931062;0,514808049;408,6914063;684,0820313;570,3125;-3,254658098;-6,060796718;-20,09902918;7,8125;9,7265625;-3,458984375;-0,333679199;-1,126953125;-0,386322022;-125,2646454;-27,50144511;68,89334036;0,022065983;-0,68531524;0,442420475;0,578031346;-486,0839844;583,4960938;622,5585938;-10,91701818;0,887070865;-18,06081361;-1,403320313;8,7734375;-3,884765625;0,810546875;-0,734008789;-0,199066162;-129,2743377;3,423294996;125,5859591;-58,01897758;21,70417576;-55,38977142;47,93234561;-47,93234561;-5,098213172;5,098213172;23,57779685;-22,06586254;0,539398496;0,457219054;0,457219054;0,539398496;88,83112654;230,45162;1128,951468;120,8532221;264,8204975;1144,627311;102,9659959;249,7545022;1133,863266;250,655058;132,4797369;997,7830833;253,7599704;156,5995581;968,4084422;355,6872255;11,64917299;900,010872;35,75041623;-5,940072318;995,1233092
0,025;;;0,671135023;0,221399052;0,331932174;0,624804988;985,3515625;-49,28588867;213,1347656;15,84212747;-14,47488403;9,114826762;6,953125;-11,6796875;-3,421875;-1,080932617;-0,016819;0,337310791;133,7631253;0,064198891;9,722721189;0,359480409;0,06753167;0,393138069;0,843596923;526,8554688;771,9726563;346,6796875;-1,918185287;-5,080922332;-3,167126611;6,95703125;9,7578125;-7,9375;-0,261993408;-1,121337891;-0,075889587;144,3737279;47,09021366;14,34721065;0,403843223;-0,753526668;0,064390117;0,514744718;414,0625;684,5703125;567,8710938;-9,524122502;-4,920000777;-18,9562036;7,6796875;9,71875;-3,138671875;-0,335021973;-1,126953125;-0,385284424;-125,3186983;-27,50225846;68,9416423;0,021819288;-0,68533726;0,442615469;0,5778653;-485,3515625;584,9609375;619,6289063;-13,73091101;-0,572366882;-19,4406935;-1,852539063;8,84375;-3,60546875;0,810546875;-0,732299805;-0,197540283;-129,2738077;3,421073075;125,6267537;-58,02154187;21,66855699;-55,39784228;47,93103311;-47,93103311;-5,097019198;5,097019198;23,57432436;-22,07851156;0,539398496;0,457219054;0,457219054;0,539398496;88,94012227;230,2177983;1128,947691;120,9321751;264,620818;1144,609977;103,0597104;249,5341945;1133,850305;250,8810045;132,2525825;997,9177063;253,9855898;156,3564325;968,5299238;356,0234705;11,4214118;900,2648685;35,75600528;-5,94849191;995,1250684
0,03;;;0,670731506;0,221644644;0,332189651;0,625014348;987,3046875;-48,18725586;211,7919922;16,63736035;-15,2283816;10,6630003;6,76171875;-11,4609375;-3,318359375;-1,080322266;-0,017019272;0,33895874;133,7234998;0,113777922;9,704006015;0,359037839;0,067650946;0,393484671;0,843614245;522,4609375;774,9023438;349,609375;2,803242837;-7,094205283;-2,19861559;6,7734375;9,5625;-7,3828125;-0,260803223;-1,121948242;-0,075378418;144,3236437;47,14104505;14,33489959;0,403885625;-0,753508537;0,064862648;0,51467866;415,0390625;686,5234375;567,3828125;-11,08822492;-5,560523042;-17,48219283;7,12109375;9,59375;-2,9375;-0,334350586;-1,127441406;-0,384063721;-125,37447;-27,50315318;68,99125668;0,021562585;-0,685362212;0,442820634;0,577688133;-484,8632813;586,9140625;617,6757813;-16,57153433;-1,577240492;-19,79247831;-2,01953125;9,140625;-3,99609375;0,81036377;-0,731750488;-0,196685791;-129,2736037;3,418425254;125,6695599;-58,02441573;21,63253258;-55,40710027;47,92964463;-47,92964463;-5,095690605;5,095690605;23,57095051;-22,09149451;0,539398496;0,457219054;0,457219054;0,539398496;89,05253701;229,9788442;1128,944136;121,0134543;264,4170682;1144,592616;103,1562824;249,3091842;1133,837385;251,1142623;132,0223306;998,0562088;254,2184641;156,1098111;968,6549672;356,3706349;11,19123513;900,5260642;35,76177021;-5,957064709;995,1268889
0,035;;;0,670321979;0,221894551;0,332453414;0,625224744;991,6992188;-47,76000977;209,9609375;16,94587709;-17,0362196;14,52183749;6,53125;-11,1015625;-3,048828125;-1,078857422;-0,017824173;0,34060669;133,6829628;0,164009804;9,685180518;0,35858968;0,067771703;0,393838913;0,843629865;520,0195313;774,4140625;347,9003906;2,455737089;-8,294382053;-4,46129786;6,546875;9,265625;-7,23828125;-0,260437012;-1,121704102;-0,07635498;144,2726337;47,19249632;14,32259019;0,403929461;-0,753489742;0,065343843;0,514610903;414,0625;686,5234375;564,9414063;-12,17836768;-6,691084137;-19,32273739;6,9921875;9,265625;-3,1015625;-0,331665039;-1,128417969;-0,382659912;-125,4313215;-27,50406877;69,04173956;0,021296235;-0,685389535;0,443034024;0,577501957;-486,0839844;588,3789063;616,6992188;-17,79181144;-2,841234743;-18,94919478;-2,15234375;9,3671875;-3,76953125;0,809997559;-0,73236084;-0,196502686;-129,2735352;3,41543631;125,7141229;-58,02754881;21,59642789;-55,41760895;47,9282145;-47,9282145;-5,09425559;5,09425559;23,56781637;-22,10456483;0,539398496;0,457219054;0,457219054;0,539398496;89,1671969;229,7377001;1128,940886;121,096291;264,2117333;1144,575476;103,2547472;249,0822304;1133,824699;251,3521379;131,791679;998,1970637;254,4559424;155,8625154;968,7821521;356,7246371;10,96104404;900,7918237;35,7676479;-5,96568832;995,1287526
0,04;;;0,669911094;0,222145408;0,332720437;0,625433973;995,6054688;-45,04394531;207,8857422;19,52250951;-18,9678557;17,71055821;6,2109375;-10,7734375;-2,927734375;-1,077392578;-0,018629074;0,342254639;133,6420242;0,214348972;9,66648865;0,358140854;0,067892138;0,394196365;0,84364389;522,4609375;773,4375;346,4355469;-0,794683336;-6,323211493;-4,435852778;6,11328125;8,8984375;-6,875;-0,260070801;-1,121459961;-0,077331543;144,2213677;47,24401271;14,31045226;0,403973312;-0,753470673;0,065829213;0,514542538;416,2597656;685,546875;563,9648438;-15,00650617;-5,030879262;-19,6671227;6,6640625;9,03125;-3,193359375;-0,328979492;-1,129394531;-0,381256104;-125,4886499;-27,5049331;69,09268014;0,02102049;-0,685418545;0,443253708;0,577309023;-489,0136719;592,2851563;612,3046875;-20,79417642;-8,265435893;-17,98554353;-2,28125;9,3359375;-3,9765625;0,809631348;-0,732971191;-0,19631958;-129,273397;3,412210734;125,7601918;-58,03088434;21,56051605;-55,42941484;47,9267699;-47,9267699;-5,092737256;5,092737256;23,56505178;-22,11746584;0,539398496;0,457219054;0,457219054;0,539398496;89,28304763;229,4970988;1128,938013;121,1800237;264,0071082;1144,558788;103,3542536;248,8558904;1133,812428;251,5921313;131,563065;998,3388455;254,6955612;155,6170916;968,9101466;357,0816466;10,73295841;901,0596894;35,77358077;-5,974268869;995,1306428
0,045;;;0,669503027;0,222394084;0,332987947;0,625640148;998,5351563;-45,6237793;205,4443359;18,75374166;-21,13901065;20,07980182;5,95703125;-9,9921875;-2,908203125;-1,075927734;-0,019433975;0,343902588;133,6011584;0,264314173;9,648151715;0,357695784;0,068010583;0,394552921;0,843656493;522,4609375;776,8554688;348,3886719;0,469529281;-6,75410447;-1,101266971;5,61328125;8,78125;-6,56640625;-0,25970459;-1,12121582;-0,078308105;144,1704664;47,29509811;14,29863951;0,40401581;-0,753451627;0,066314716;0,514474712;416,2597656;689,453125;562,5;-16,33747213;-8,061564002;-17,81256766;6,35546875;8,8515625;-3,25390625;-0,326293945;-1,130371094;-0,379852295;-125,545906;-27,50566158;69,14370973;0,020735728;-0,685448434;0,443478063;0,577111499;-490,9667969;596,6796875;612,7929688;-23,51141968;-9,63438112;-14,12746285;-2,419921875;9,53125;-3,8125;0,809265137;-0,733581543;-0,196136475;-129,2730178;3,408872169;125,8075275;-58,03436408;21,52506009;-55,44253773;47,9253289;-47,9253289;-5,091147702;5,091147702;23,56276896;-22,12994304;0,539398496;0,457219054;0,457219054;0,539398496;89,39917477;229,2594538;1128,93558;121,2641025;263,805206;1144,542752;103,4540759;248,6324166;1133,800725;251,8320064;131,3385738;998,4802725;254,9351113;155,3757159;969,0377465;357,4381892;10,50873756;901,3274468;35,77951803;-5,982724689;995,1325439
