time;;;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-x;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-y;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-z;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-w;LT Upper arm Accel Sensor X (mG);LT Upper arm Accel Sensor Y (mG);LT Upper arm Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-z (mGauss);LT Upper Arm Course (deg);LT Upper Arm Pitch (deg);LT Upper Arm Roll (deg);Noraxon MyoMotion-Segments-Forearm LT-Orientation-x;Noraxon MyoMotion-Segments-Forearm LT-Orientation-y;Noraxon MyoMotion-Segments-Forearm LT-Orientation-z;Noraxon MyoMotion-Segments-Forearm LT-Orientation-w;LT Forearm Accel Sensor X (mG);LT Forearm Accel Sensor Y (mG);LT Forearm Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-z (mGauss);LT Forearm Course (deg);LT Forearm Pitch (deg);LT Forearm Roll (deg);Noraxon MyoMotion-Segments-Hand LT-Orientation-x;Noraxon MyoMotion-Segments-Hand LT-Orientation-y;Noraxon MyoMotion-Segments-Hand LT-Orientation-z;Noraxon MyoMotion-Segments-Hand LT-Orientation-w;LT Hand Accel Sensor X (mG);LT Hand Accel Sensor Y (mG);LT Hand Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-z (mGauss);LT Hand Course (deg);LT Hand Pitch (deg);LT Hand Roll (deg);Noraxon MyoMotion-Segments-Object 1-Orientation-x;Noraxon MyoMotion-Segments-Object 1-Orientation-y;Noraxon MyoMotion-Segments-Object 1-Orientation-z;Noraxon MyoMotion-Segments-Object 1-Orientation-w;LT Object 1 Accel Sensor X (mG);LT Object 1 Accel Sensor Y (mG);LT Object 1 Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-x (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-y (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-z (mG);Noraxon MyoMotion-Segments-Object 1-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Object 1-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Object 1-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Object 1-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Object 1-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Object 1-Magnetometer-z (mGauss);LT Object 1 Course (deg);LT Object 1 Pitch (deg);LT Object 1 Roll (deg);LT RacketHand_x (deg);LT RacketHand_y (deg);LT RacketHAnd_z (deg);LT Elbow Flexion (deg);Noraxon MyoMotion-Joints-Elbow LT-Extension (deg);LT Wrist Flexion (deg);Noraxon MyoMotion-Joints-Wrist LT-Extension (deg);LT Wrist Radial (deg);LT Wrist Supination (deg);Noraxon MyoMotion-Body Orientation-x;Noraxon MyoMotion-Body Orientation-y;Noraxon MyoMotion-Body Orientation-z;Noraxon MyoMotion-Body Orientation-w;Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-x (mm);Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-y (mm);Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-z (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-x (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-y (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-z (mm);Noraxon MyoMotion-Trajectories-Elbow LT-x (mm);Noraxon MyoMotion-Trajectories-Elbow LT-y (mm);Noraxon MyoMotion-Trajectories-Elbow LT-z (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-x (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-y (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-z (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-x (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-y (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-z (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-x (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-y (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-z (mm);Noraxon MyoMotion-Trajectories-Body center of mass-x (mm);Noraxon MyoMotion-Trajectories-Body center of mass-y (mm);Noraxon MyoMotion-Trajectories-Body center of mass-z (mm)
0;;;0,678424028;0,015020514;0,119137681;0,724790615;987,7929688;-35,70556641;151,4892578;-0,251240686;4,688985164;-0,031609443;1,262695313;-0,104003906;0,324951172;-1,040039063;-0,346435547;0,280761719;169,3971232;4,532837839;8,066199294;0,535953377;0,012905183;0,089120633;0,839431324;793,9453125;585,9375;130,859375;-12,4621233;8,991915023;-4,731227196;0,747558594;-2,11328125;2,470703125;-0,523925781;-1,017578125;-0,173583984;172,5603765;25,16173249;4,68091457;0,248971537;-0,561728513;-0,332407778;0,715527303;881,3476563;463,1347656;107,6049805;-7,546520731;5,259010473;1,379911404;-2,16796875;4,54296875;1,557617188;-0,724609375;-0,989746094;-0,275390625;-88,98621366;14,17879046;41,17807645;-0,006112946;-0,283382395;0,169028249;0,943973782;24,4140625;992,1875;84,53369141;3,597104149;5,071993738;-3,938073056;-8,5234375;2,248046875;0,377441406;0,473144531;-1,008789063;0,014396667;-98,91605844;57,06776106;101,3875721;-43,08523589;19,3638632;-60,64076551;20,85132012;-20,85132012;21,78083628;-21,78083628;14,26030306;4,094952599;0,706952263;0,014781659;0,014781659;0,706952263;252,970387;-34,38690262;1132,14914;301,0684221;-28,3750201;1142,288307;276,2089313;-27,72347312;1135,626255;313,784872;-146,3486475;935,0206512;310,0887198;-114,7781937;913,9512255;243,5035622;-242,373361;790,0000368;3,565116974;-34,44033491;994,1517968
0,005;;;0,678435591;0,015022259;0,119111985;0,724783979;987,3046875;-35,79711914;153,1982422;0,88915475;6,075491871;-0,258043838;1,478515625;-0,367675781;0,466552734;-1,040039063;-0,346435547;0,280761719;169,3988914;4,531028319;8,064179697;0,536028902;0,012955199;0,089048401;0,839389994;791,9921875;584,9609375;133,6669922;-9,174398535;8,181050842;-6,447440202;1,326171875;-2,671875;2,357421875;-0,523925781;-1,017578125;-0,173583984;172,5598071;25,15131911;4,671186424;0,249043654;-0,561783518;-0,332352268;0,715484806;882,3242188;457,5195313;109,9243164;-4,960674098;10,32936121;-0,11390658;-1,794921875;4,8046875;1,452148438;-0,724609375;-0,989746094;-0,275390625;-88,99263874;14,1672417;41,17636309;-0,006040484;-0,283655795;0,169128324;0,943874204;18,64624023;993,1640625;84,16748047;3,810949634;-0,858198359;-3,109112168;-8,671875;2,466796875;0,474365234;0,473144531;-1,008789063;0,014396667;-98,93881392;57,03528352;101,3786859;-43,10056785;19,38777269;-60,64101358;20,84249648;-20,84249648;21,75834524;-21,75834524;14,27232509;4,090224347;0,706952263;0,014781659;0,014781659;0,706952263;252,955835;-34,37953357;1132,149557;301,0561705;-28,37173734;1142,28023;276,195401;-27,71784668;1135,623181;313,72403;-146,3104988;934,9935677;310,0288256;-114,7398965;913,9241983;243,4820876;-242,3388882;789,9563151;3,564080075;-34,43969037;994,1513118
0,01;;;0,678447157;0,015024079;0,119086094;0,724777369;988,28125;-35,52246094;153,0761719;0,973793291;5,664168701;0,680247456;1,31640625;-0,191772461;0,585449219;-1,039794922;-0,346862793;0,28036499;169,4006688;4,529218097;8,062138322;0,536104711;0,0130056;0,088975665;0,839348512;792,96875;584,4726563;132,5683594;-10,00940408;9,0153023;-6,118402202;1,661132813;-2,814453125;2,23828125;-0,523132324;-1,017089844;-0,173614502;172,5592322;25,14086458;4,661385922;0,249115249;-0,561836955;-0,332297093;0,715443548;886,2304688;460,9375;104,4311523;-11,5592142;9,6742576;4,264149282;-1,8359375;5,05078125;1,479492188;-0,723815918;-0,989318848;-0,275268555;-88,99909372;14,15593053;41,17465228;-0,00596628;-0,283929732;0,169229785;0,943774121;16,81518555;995,6054688;87,09716797;6,125896826;-2,240963639;-0,471927354;-9,0859375;2,404296875;0,345947266;0,473693848;-1,008911133;0,013972282;-98,96198048;57,00274089;101,3695647;-43,11608745;19,41208587;-60,64124867;20,83363084;-20,83363084;21,73598547;-21,73598547;14,28433343;4,085647699;0,706952263;0,014781659;0,014781659;0,706952263;252,941155;-34,37218502;1132,149979;301,0438049;-28,36849565;1142,272093;276,1817489;-27,71224994;1135,620082;313,6628168;-146,2722644;934,9663618;309,9684558;-114,7015144;913,8970658;243,4596954;-242,3043553;789,9127649;3,56303318;-34,43904545;994,1508253
0,015;;;0,678458716;0,015025982;0,11906002;0,724770793;988,28125;-34,82055664;152,34375;1,064675858;4,648973401;0,548935306;1,310546875;-0,349609375;0,762695313;-1,039306641;-0,347717285;0,279571533;169,4024537;4,527408499;8,060075385;0,536180747;0,01305636;0,088902471;0,83930691;793,9453125;587,4023438;133,9111328;-8,873786456;6,985209669;-3,408144256;2,216796875;-2,78125;2,291015625;-0,52154541;-1,016113281;-0,173675537;172,5586516;25,13037703;4,651518443;0,24918623;-0,561888694;-0,332242304;0,715403641;886,71875;465,5761719;108,9477539;-8,259135747;5,350897238;7,374846359;-1,791015625;5,2109375;1,373046875;-0,722229004;-0,988464356;-0,275024414;-89,00557565;14,14487972;41,17294694;-0,00589033;-0,284203979;0,169332626;0,943673601;17,94433594;997,0703125;86,48681641;4,356778436;-1,55892521;0,964417403;-9,2890625;2,712890625;0,391113281;0,474792481;-1,009155273;0,013123512;-98,98555645;56,9701602;101,3602081;-43,1317903;19,43680039;-60,64147073;20,82473012;-20,82473012;21,71378446;-21,71378446;14,29631709;4,081236088;0,706952263;0,014781659;0,014781659;0,706952263;252,9263509;-34,36486347;1132,150403;301,0313276;-28,3652983;1142,263901;276,1679782;-27,70668805;1135,61696;313,6012691;-146,2339754;934,9390524;309,9076398;-114,6630792;913,8698472;243,4363605;-242,2697968;789,869437;3,561976656;-34,4384007;994,1503377
0,02;;;0,678471698;0,015029111;0,119032913;0,724763028;989,7460938;-36,77368164;150,8789063;-1,389566113;4,683463106;1,843407118;1,381835938;-0,591308594;0,941894531;-1,038818359;-0,348571777;0,278778076;169,4042023;4,525372877;8,057847081;0,536262934;0,013112495;0,088823866;0,839261848;793,9453125;589,3554688;137,4511719;-5,306045313;5,026322155;-1,737291889;3,0703125;-2,880859375;2,013671875;-0,519958496;-1,015136719;-0,173736572;172,5578559;25,11903543;4,640753579;0,249263391;-0,5619428;-0,332181245;0,715362616;879,8828125;463,3789063;112,6708984;-4,364167282;3,601878231;0,787932762;-1,578125;5,40234375;1,227539063;-0,72064209;-0,987609863;-0,274780273;-89,012873;14,13314923;41,17118483;-0,005811048;-0,284497189;0,169444764;0,943565606;18,61572266;998,046875;85,69335938;2,538925152;-1,348207381;1,887817006;-9,4765625;2,775390625;0,378417969;0,475891113;-1,009399414;0,012274742;-99,0104765;56,93531583;101,3507616;-43,1488365;19,46302701;-60,64191276;20,8151844;-20,8151844;21,68983122;-21,68983122;14,30929761;4,076701716;0,706952263;0,014781659;0,014781659;0,706952263;252,9103557;-34,35638803;1132,150856;301,0178501;-28,36115563;1142,254944;276,1530891;-27,7000545;1135,613533;313,5347396;-146,1918756;934,9094664;309,8416504;-114,6208684;913,8403329;243,4111142;-242,2322914;789,8229322;3,560833419;-34,43768017;994,1498094
0,025;;;0,678485958;0,015033845;0,119005425;0,724754095;990,234375;-36,25488281;151,4892578;-0,572110468;4,71203586;2,399620211;1,510742188;-0,431396484;0,833496094;-1,038330078;-0,34942627;0,277984619;169,4058324;4,523132217;8,055471198;0,536350264;0,013173898;0,088740845;0,839213862;793,4570313;588,8671875;139,4042969;-2,870512541;4,820573322;-2,131919955;3,818359375;-3,21875;1,888671875;-0,518371582;-1,014160156;-0,173797607;172,5567909;25,10697661;4,62916362;0,249344682;-0,561995499;-0,332115211;0,715323546;874,0234375;466,5527344;116,1499023;-1,463782678;-2,356526692;-2,467280141;-1,061523438;4,91015625;1,279296875;-0,719055176;-0,986755371;-0,274536133;-89,02096218;14,12136077;41,16940692;-0,005728236;-0,284803508;0,169566205;0,943451881;18,53942871;1000;87,09716797;2,932845349;-1,393058267;3,951734344;-9,6953125;2,9609375;0,482910156;0,476989746;-1,009643555;0,011425972;-99,0367337;56,89890697;101,3411963;-43,16716493;19,49068477;-60,64261076;20,80511197;-20,80511197;21,66479314;-21,66479314;14,32302364;4,072394611;0,706952263;0,014781659;0,014781659;0,706952263;252,8933347;-34,34680737;1132,151341;301,0035122;-28,3560221;1142,245286;276,1372312;-27,69235565;1135,609825;313,4640186;-146,1463925;934,8779225;309,7710563;-114,5753191;913,8088658;243,3831489;-242,1923212;789,7743802;3,559612341;-34,43688981;994,1492476
0,03;;;0,678501286;0,015040583;0,118978264;0,724744065;987,7929688;-38,02490234;149,7802734;-2,771002005;4,953305627;-0,2086423;1,671875;-0,466552734;0,94140625;-1,038330078;-0,349639893;0,277435303;169,4072565;4,520717973;8,052967041;0,53644164;0,013240371;0,088654619;0,839163523;793,9453125;591,796875;138,1835938;-4,104273554;2,695669907;-0,178368715;3,87890625;-3,224609375;1,857421875;-0,518615723;-1,014282227;-0,17388916;172,5553978;25,09434982;4,616844806;0,24942792;-0,562042913;-0,332045744;0,715289522;872,5585938;465,3320313;118,6523438;0,902732944;-2,283654658;-4,025729496;-0,561035156;4,44921875;1,232421875;-0,719055176;-0,986083984;-0,274688721;-89,02979676;14,11015775;41,16764593;-0,005641674;-0,285116406;0,169696892;0,94333439;19,05822754;1003,90625;86,60888672;1,200495176;-1,401068027;7,813807161;-9,6875;3,1640625;0,616699219;0,477233887;-1,010131836;0,010427952;-99,06431748;56,8617138;101,3314754;-43,18664733;19,51966649;-60,64360443;20,79463323;-20,79463323;21,63939283;-21,63939283;14,33721866;4,06865908;0,706952263;0,014781659;0,014781659;0,706952263;252,8754777;-34,33622363;1132,151858;300,9884718;-28,34989457;1142,235017;276,1205757;-27,68364626;1135,605869;313,3900346;-146,0980322;934,8447776;309,6965706;-114,5269428;913,7758329;243,3516981;-242,1503964;789,72496;3,558324437;-34,43603768;994,1486601
0,035;;;0,678517415;0,015049691;0,118952117;0,724733067;989,2578125;-37,50610352;150,7568359;-1,775569599;5,113098235;1,367092806;1,84765625;-0,43359375;1,017578125;-1,038818359;-0,349212647;0,277130127;169,4083918;4,518170518;8,050354488;0,536535932;0,013311631;0,088566458;0,839111421;794,4335938;596,6796875;137,9394531;-4,650755779;-1,024327217;3,073276639;3,978515625;-2,912109375;1,717773438;-0,520690918;-1,01550293;-0,174011231;172,5536228;25,0813092;4,603906581;0,249510932;-0,562081293;-0,331974562;0,715263451;876,953125;459,7167969;118,8964844;1,395019882;4,635888389;-2,7541661;-0,003940582;3,80078125;1,247070313;-0,72064209;-0,985595703;-0,275238037;-89,03930918;14,10016648;41,1659208;-0,005551148;-0,285429015;0,16983662;0,943215238;16,54052734;1001,953125;89,66064453;4,093158974;-3,271752814;6,079135358;-9,515625;3,494140625;0,66015625;0,476623535;-1,010864258;0,009280682;-99,09320613;56,82455723;101,321552;-43,20709335;19,54983088;-60,64493274;20,78386451;-20,78386451;21,61435707;-21,61435707;14,35159312;4,065813713;0,706952263;0,014781659;0,014781659;0,706952263;252,856985;-34,32479075;1132,152411;300,9728952;-28,34282205;1142,224236;276,1033038;-27,6740331;1135,601708;313,3137675;-146,04737;934,8104065;309,6189776;-114,4763136;913,741645;243,3160489;-242,1070341;789,6758241;3,556981757;-34,43513387;994,1480549
0,04;;;0,678534032;0,015061461;0,118927582;0,724721291;990,7226563;-39,03198242;149,5361328;-3,751759152;5,025400153;2,684697167;2;-0,4765625;1,1328125;-1,039306641;-0,3487854;0,276824951;169,4091697;4,515537588;8,047652252;0,536632012;0,013387313;0,088477579;0,839058152;793,4570313;600,5859375;139,5263672;-3,144828877;-4,965265958;4,843565979;4,0234375;-2,814453125;1,663085938;-0,522766113;-1,016723633;-0,174133301;172,5514243;25,06800858;4,590462716;0,249591679;-0,562107188;-0,331903507;0,715247904;877,9296875;457,03125;119,8730469;2,481217607;7,327862286;-3,030696044;0,648925781;3,0234375;0,799804688;-0,722229004;-0,985107422;-0,275787354;-89,04941345;14,09196548;41,16423191;-0,005456452;-0,285734442;0,169984972;0,943096583;17,28820801;998,046875;90,75927734;4,498910614;-2,372395685;2,301264491;-9,203125;3,55078125;0,919433594;0,476013184;-1,01159668;0,008133411;-99,12336501;56,78826128;101,3113666;-43,2282596;19,5810011;-60,64663028;20,77291431;-20,77291431;21,59037515;-21,59037515;14,36585276;4,064136554;0,706952263;0,014781659;0,014781659;0,706952263;252,8380518;-34,31271267;1132,153002;300,9569433;-28,33491353;1142,213053;276,085592;-27,66367777;1135,597385;313,2361714;-145,9950457;934,7751858;309,5390658;-114,4240626;913,7067206;243,2755452;-242,062746;789,6280382;3,555596261;-34,43419054;994,1474402
0,045;;;0,678550796;0,015076071;0,118905121;0,724708978;990,7226563;-38,48266602;150,1464844;-2,879368173;5,077903939;2,757292714;2,3515625;-0,260253906;1,078125;-1,039794922;-0,348358154;0,276519775;169,4095417;4,512871985;8,044876963;0,536728767;0,01346698;0,088389042;0,83900432;794,4335938;604,9804688;141,3574219;-1,623876736;-8,135574411;8,483613461;3,7265625;-2,830078125;1,751953125;-0,524841309;-1,017944336;-0,174255371;172,548779;25,05460041;4,576624651;0,249668353;-0,562117568;-0,331834504;0,715245004;873,5351563;458,2519531;121,3378906;3,905396296;4,025453427;-6,143899222;1,301757813;2,15234375;0,420898438;-0,723815918;-0,984619141;-0,27633667;-89,06000866;14,0860642;41,16255604;-0,005357399;-0,286026064;0,17014124;0,942980566;20,30944824;995,1171875;93,20068359;5,633289114;1,024518861;-0,337919903;-8,5625;3,576171875;0,96875;0,475402832;-1,012329102;0,006986141;-99,15474151;56,75361811;101,3008428;-43,24986796;19,61296306;-60,64872554;20,76188451;-20,76188451;21,56806782;-21,56806782;14,37969995;4,063855921;0,706952263;0,014781659;0,014781659;0,706952263;252,818856;-34,30023534;1132,153645;300,940763;-28,32633687;1142,201581;276,0676025;-27,65279197;1135,592953;313,1581188;-145,9417655;934,7394867;309,4575793;-114,3708781;913,6714808;243,2295904;-242,0180313;789,5825414;3,554179023;-34,43322175;994,1468237
