time;;;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-x;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-y;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-z;Noraxon MyoMotion-Segments-Upper arm LT-Orientation-w;LT Upper arm Accel Sensor X (mG);LT Upper arm Accel Sensor Y (mG);LT Upper arm Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-z (mGauss);LT Upper Arm Course (deg);LT Upper Arm Pitch (deg);LT Upper Arm Roll (deg);Noraxon MyoMotion-Segments-Forearm LT-Orientation-x;Noraxon MyoMotion-Segments-Forearm LT-Orientation-y;Noraxon MyoMotion-Segments-Forearm LT-Orientation-z;Noraxon MyoMotion-Segments-Forearm LT-Orientation-w;LT Forearm Accel Sensor X (mG);LT Forearm Accel Sensor Y (mG);LT Forearm Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Forearm LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-z (mGauss);LT Forearm Course (deg);LT Forearm Pitch (deg);LT Forearm Roll (deg);Noraxon MyoMotion-Segments-Hand LT-Orientation-x;Noraxon MyoMotion-Segments-Hand LT-Orientation-y;Noraxon MyoMotion-Segments-Hand LT-Orientation-z;Noraxon MyoMotion-Segments-Hand LT-Orientation-w;LT Hand Accel Sensor X (mG);LT Hand Accel Sensor Y (mG);LT Hand Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-x (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-y (mG);Noraxon MyoMotion-Segments-Hand LT-Acceleration-z (mG);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Hand LT-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Hand LT-Magnetometer-z (mGauss);LT Hand Course (deg);LT Hand Pitch (deg);LT Hand Roll (deg);Noraxon MyoMotion-Segments-Object 1-Orientation-x;Noraxon MyoMotion-Segments-Object 1-Orientation-y;Noraxon MyoMotion-Segments-Object 1-Orientation-z;Noraxon MyoMotion-Segments-Object 1-Orientation-w;LT Object 1 Accel Sensor X (mG);LT Object 1 Accel Sensor Y (mG);LT Object 1 Accel Sensor Z (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-x (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-y (mG);Noraxon MyoMotion-Segments-Object 1-Acceleration-z (mG);Noraxon MyoMotion-Segments-Object 1-Gyroscope-x (deg/s);Noraxon MyoMotion-Segments-Object 1-Gyroscope-y (deg/s);Noraxon MyoMotion-Segments-Object 1-Gyroscope-z (deg/s);Noraxon MyoMotion-Segments-Object 1-Magnetometer-x (mGauss);Noraxon MyoMotion-Segments-Object 1-Magnetometer-y (mGauss);Noraxon MyoMotion-Segments-Object 1-Magnetometer-z (mGauss);LT Object 1 Course (deg);LT Object 1 Pitch (deg);LT Object 1 Roll (deg);LT RacketHand_x (deg);LT RacketHand_y (deg);LT RacketHAnd_z (deg);LT Elbow Flexion (deg);Noraxon MyoMotion-Joints-Elbow LT-Extension (deg);LT Wrist Flexion (deg);Noraxon MyoMotion-Joints-Wrist LT-Extension (deg);LT Wrist Radial (deg);LT Wrist Supination (deg);Noraxon MyoMotion-Body Orientation-x;Noraxon MyoMotion-Body Orientation-y;Noraxon MyoMotion-Body Orientation-z;Noraxon MyoMotion-Body Orientation-w;Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-x (mm);Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-y (mm);Noraxon MyoMotion-Trajectories-Medial humeral epicondyle LT-z (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-x (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-y (mm);Noraxon MyoMotion-Trajectories-Lateral humeral epicondyle LT-z (mm);Noraxon MyoMotion-Trajectories-Elbow LT-x (mm);Noraxon MyoMotion-Trajectories-Elbow LT-y (mm);Noraxon MyoMotion-Trajectories-Elbow LT-z (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-x (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-y (mm);Noraxon MyoMotion-Trajectories-Radial styloid process LT-z (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-x (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-y (mm);Noraxon MyoMotion-Trajectories-Ulnar styloid process LT-z (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-x (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-y (mm);Noraxon MyoMotion-Trajectories-Hand tip LT-z (mm);Noraxon MyoMotion-Trajectories-Body center of mass-x (mm);Noraxon MyoMotion-Trajectories-Body center of mass-y (mm);Noraxon MyoMotion-Trajectories-Body center of mass-z (mm)
0;;;0,64170374;0,218783114;0,34571959;0,648712744;1032,226563;24,30725098;78,61328125;32,01676266;-78,01030679;32,06195827;60,9375;14,28125;0,143432617;-1,045898438;-0,083862305;0,417236328;133,1190838;4,628832697;9,228220595;0,409877333;0,082625256;0,430186666;0,800070667;555,1757813;763,671875;265,1367188;-17,18970742;-71,32939848;-22,07925104;-5,265625;60,75;8,9296875;-0,351318359;-1,1015625;-0,028594971;140,3364653;40,56779024;16,8690452;0,575598981;-0,620019413;0,133900818;0,516073941;527,8320313;694,3359375;565,4296875;-51,9926359;-86,31974211;34,53634386;-20,578125;80,375;0,246459961;-0,431152344;-1,088867188;-0,428955078;-147,4175468;-25,56130016;61,67297349;-0,029658183;-0,52318975;0,490133504;0,696535732;-461,6699219;809,5703125;587,890625;-39,18920056;-86,07589609;97,82227217;-64,1875;13,6875;-19,28125;0,688476563;-0,854980469;-0,16015625;-121,8885556;26,79410844;128,3774901;-33,3257963;13,75266607;-59,85266108;36,52054623;-36,52054623;-14,23432125;14,23432125;16,67366187;-8,39052647;0,707102058;0,002584399;0,002584399;0,707102058;268,559396;-9,245082422;1129,935643;299,063061;25,38116799;1147,905496;281,6282461;10,36162965;1136,362427;437,5436062;-76,49543998;981,6478523;426,7540306;-52,54474584;954,0032308;572,0451706;-137,5399329;866,0014699;4,794649637;-32,14345379;994,8915171
0,005;;;0,641264524;0,219912161;0,34765784;0,647728708;1030,273438;20,0958252;75,86669922;26,80156795;-80,76726637;29,74816285;59,8125;14,3125;0,023986816;-1,045898438;-0,083862305;0,417236328;132,8473998;4,636672637;9,295310449;0,409255241;0,082866055;0,432399412;0,799170891;550,78125;764,1601563;263,9160156;-18,03467514;-76,37424207;-24,91327632;-5,2265625;60,4375;8,5625;-0,351318359;-1,1015625;-0,028594971;140,1374494;40,63868616;16,96954514;0,577244824;-0,620486058;0,135249981;0,513315603;527,34375;723,6328125;572,7539063;-46,9771233;-107,1862313;56,45027182;-21,609375;84,375;0,173095703;-0,431152344;-1,088867188;-0,428955078;-147,6933567;-25,87626274;61,82861719;-0,029363861;-0,525482227;0,489938893;0,694957606;-464,1113281;794,921875;591,3085938;-32,33402337;-83,29905574;90,39522355;-65,0625;13,546875;-20,390625;0,688476563;-0,854980469;-0,16015625;-121,9851416;26,48812907;128,3818466;-33,2900185;13,62812646;-59,88800566;36,59376121;-36,59376121;-14,41018461;14,41018461;16,67946318;-8,657468047;0,707102058;0,002584399;0,002584399;0,707102058;268,8306959;-8,740273478;1129,982668;299,1377222;26,02733565;1148,012198;281,7955344;10,92697871;1136,435088;438,3331354;-75,27340987;981,9794702;427,594964;-51,26993539;954,3606237;573,6337252;-135,4436792;866,8079642;4,811419173;-32,11002028;994,8996426
0,01;;;0,640811269;0,221055095;0,349623519;0,646729432;1030,273438;17,12036133;76,59912109;23,42003836;-80,67323339;29,83844333;58,8125;14,296875;0,202880859;-1,045898438;-0,083862305;0,417236328;132,571782;4,645537897;9,363311322;0,408618883;0,08310572;0,434643228;0,798253915;545,8984375;781,7382813;275,1464844;-6,103962979;-85,36101065;-11,31315787;-4,859375;59,78125;8,3359375;-0,350830078;-1,10168457;-0,029846191;139,9359103;40,71131388;17,07182684;0,578908037;-0,620948413;0,136614144;0,510514573;516,6015625;729,0039063;579,1015625;-39,50061604;-112,17563;58,08261433;-22,859375;88,625;0,623535156;-0,429656982;-1,088500977;-0,431213379;-147,9746786;-26,19470254;61,98807724;-0,029057744;-0,527804184;0,489741906;0,69334786;-456,2988281;781,7382813;600,5859375;-32,33348408;-70,72420608;83,50332797;-66,5625;13,4921875;-21,546875;0,689819336;-0,853759766;-0,161514282;-122,0840503;26,17771162;128,3864144;-33,25397728;13,50318708;-59,92409648;36,66794303;-36,66794303;-14,58782053;14,58782053;16,68506235;-8,927591572;0,707102058;0,002584399;0,002584399;0,707102058;269,1057465;-8,229112715;1130,031379;299,2123442;26,68094605;1148,121348;281,9646812;11,49905177;1136,509719;439,1319037;-74,03231888;982,3193536;428,4452164;-49,97523009;954,7271991;575,2361289;-133,3143569;867,6351501;4,828361901;-32,07611881;994,907972
0,015;;;0,640343893;0,222211268;0,351615721;0,64571529;1028,320313;17,86804199;74,70703125;23,28128148;-83,45754178;27,53875508;57,84375;14,109375;-0,065002441;-1,045898438;-0,083862305;0,417236328;132,2923554;4,65545847;9,432189716;0,40796831;0,083343918;0,436917016;0,797319993;544,4335938;802,2460938;286,6210938;4,343303428;-94,31418007;6,60039513;-3,974609375;58,6875;7,484375;-0,349853516;-1,101928711;-0,032348633;139,7319601;40,78567334;17,17585766;0,580587857;-0,621405844;0,137992671;0,507671686;500,4882813;720,703125;589,84375;-28,85964965;-104,5004377;51,69574622;-21,546875;91,125;1,807617188;-0,42666626;-1,087768555;-0,435729981;-148,26151;-26,51646463;62,15138073;-0,028739694;-0,530154691;0,489542499;0,691706712;-463,1347656;764,1601563;591,796875;-23,74181606;-78,6395933;68,60200137;-68,25;13,5234375;-22,453125;0,692504883;-0,851318359;-0,164230347;-122,1852702;25,86295405;128,3912059;-33,21770094;13,37792248;-59,96093773;36,74306271;-36,74306271;-14,76717556;14,76717556;16,69043898;-9,200763106;0,707102058;0,002584399;0,002584399;0,707102058;269,3844259;-7,711826937;1130,081797;299,2868618;27,34166213;1148,232931;282,1355997;12,0775709;1136,586323;439,9394447;-72,77265529;982,6675061;429,3042702;-48,66113756;955,1029715;576,8513407;-131,1527072;868,4830546;4,845467606;-32,04176389;994,9165054
0,02;;;0,63985846;0,223421474;0,353698382;0,644640559;1032,226563;24,30725098;78,61328125;29,64752767;-82,34846383;31,79567812;60,9375;14,28125;0,143432617;-1,045898438;-0,083862305;0,417236328;131,9996724;4,664902815;9,504654014;0,407278569;0,083586497;0,43928981;0,796342846;542,96875;825,1953125;293,7011719;12,00864972;-107,3549626;24,867528;-3,126953125;57,90625;7,01953125;-0,348876953;-1,102172852;-0,034851074;139,5195077;40,86469415;17,28475457;0,582364929;-0,621891785;0,139455573;0,504632381;485,5957031;728,515625;598,1445313;-16,68908007;-110,7306207;54,40755274;-25,765625;95,8125;2,87890625;-0,423675537;-1,087036133;-0,440246582;-148,5682587;-26,85901088;62,32810358;-0,028399808;-0,532667157;0,489306002;0,689955641;-469,9707031;747,0703125;593,2617188;-13,05311325;-79,04238114;60,43759777;-70,3125;13,2734375;-23,3125;0,69519043;-0,848876953;-0,166946411;-122,2917779;25,52585199;128,3955893;-33,18057286;13,24391025;-60,00053027;36,82404524;-36,82404524;-14,96312611;14,96312611;16,69582723;-9,490529423;0,707102058;0,002584399;0,002584399;0,707102058;269,6694846;-7,162278855;1130,135081;299,3576502;28,04016137;1148,349566;282,3076946;12,69058618;1136,666617;440,7738198;-71,44862377;983,0349305;430,193786;-47,27865917;955,5003797;578,5396192;-128,8679161;869,3916462;4,86307677;-32,00549646;994,9255439
0,025;;;0,639355368;0,224676804;0,35585914;0,643513263;1030,273438;20,0958252;75,86669922;24,49813671;-85,19895345;29,44836388;59,8125;14,3125;0,023986816;-1,045898438;-0,083862305;0,417236328;131,6955984;4,674221528;9,580282158;0,406553138;0,083830091;0,441748205;0,795327345;546,875;849,609375;302,9785156;18,03382434;-117,4595389;48,13280387;-2,65625;57,46875;6,703125;-0,347900391;-1,102416992;-0,037353516;139,2999838;40,94802406;17,3981462;0,584230322;-0,622400675;0,140994338;0,501410937;462,1582031;735,8398438;605,46875;2,512646791;-118,0070389;52,478462;-26,328125;98,1875;4,359375;-0,420684815;-1,086303711;-0,444763184;-148,8938466;-27,2204493;62,51760743;-0,028029347;-0,53533681;0,489036865;0,688092872;-469,9707031;738,28125;593,75;-12,88121294;-79,13752371;54,53404644;-72,6875;13,3046875;-23,8125;0,697875977;-0,846435547;-0,169662476;-122,4047454;25,16697685;128,3990956;-33,1440209;13,10358237;-60,04256601;36,91013976;-36,91013976;-15,17472044;15,17472044;16,70090851;-9,795072086;0,707102058;0,002584399;0,002584399;0,707102058;269,9603474;-6,584988125;1130,191205;299,4252458;28,77085889;1148,470982;282,4810011;13,33311411;1136,750473;441,6314361;-70,06875288;983,4203173;431,1096639;-45,83658061;955,9181369;580,291653;-126,4725894;870,3577763;4,881125996;-31,96756974;994,9350583
0,03;;;0,638834803;0,225968152;0,358085365;0,64234209;1030,273438;17,12036133;76,59912109;21,11481948;-85,17345478;29,52587881;58,8125;14,296875;0,202880859;-1,046264648;-0,083724976;0,416687012;131,382052;4,683815251;9,658615763;0,405795722;0,084071466;0,444278701;0,79427845;549,3164063;855,9570313;299,5605469;12,37435594;-124,0878501;52,89911935;-2,85546875;57,46875;6,73828125;-0,348388672;-1,102172852;-0,038787842;139,0748179;41,03528171;17,51564784;0,586172857;-0,622926781;0,142599195;0,498025177;453,8574219;729,0039063;601,5625;0,508563109;-120,7036463;41,50903369;-27,234375;100,5625;5,65234375;-0,418121338;-1,085693359;-0,449554443;-149,2368409;-27,59849685;62,7190956;-0,027619758;-0,538156656;0,488740152;0,686117794;-481,4453125;730,9570313;595,703125;-5,338256963;-85,35116669;55,28984879;-75,3125;13,421875;-24,1875;0,700195313;-0,843017578;-0,174041748;-122,5252852;24,78719076;128,4013003;-33,10961161;12,95963392;-60,08664763;37,00050746;-37,00050746;-15,40051256;15,40051256;16,70544216;-10,11236433;0,707102058;0,002584399;0,002584399;0,707102058;270,2566407;-5,98489435;1130,250114;299,490418;29,52775426;1148,596898;282,6557699;13,99975599;1136,837747;442,508929;-68,6419605;983,8223035;432,0480034;-44,34416353;956,3548338;582,0975432;-123,9809757;871,3776555;4,899558206;-31,92825623;994,9450161
0,035;;;0,638296631;0,227286801;0,360365006;0,641135854;1028,320313;17,86804199;74,70703125;21,04129787;-87,94815784;27,21246968;57,84375;14,109375;-0,065002441;-1,04699707;-0,083450317;0,415588379;131,0608771;4,694120765;9,739187533;0,405009939;0,084307717;0,446868615;0,793200857;547,3632813;849,1210938;295,6542969;6,729739595;-124,5676792;45,2091947;-4,5625;57,53125;6,56640625;-0,350341797;-1,10144043;-0,039154053;138,8453417;41,12608991;17,63688734;0,588179653;-0,623464567;0,144259572;0,494495506;459,2285156;724,1210938;608,8867188;-9,034268022;-116,6428759;45,13063573;-28,34375;103,5625;6,56640625;-0,415985107;-1,085205078;-0,454620361;-149,595523;-27,99060266;62,93165976;-0,027163026;-0,541117769;0,488421653;0,684030715;-467,5292969;725,5859375;598,1445313;-17,06246706;-77,46971432;47,15939187;-78,9375;13,6171875;-24,140625;0,702148438;-0,838623047;-0,180084229;-122,6544316;24,3876082;128,4018737;-33,07894146;12,81495003;-60,1322923;37,0942728;-37,0942728;-15,63861436;15,63861436;16,70928415;-10,44029986;0,707102058;0,002584399;0,002584399;0,707102058;270,5582422;-5,367065439;1130,311741;299,5541355;30,3047892;1148,727044;282,832473;14,68501754;1136,928295;443,4034008;-67,17698064;984,2395988;433,0053765;-42,81055024;956,8090692;583,9473778;-121,4081341;872,447116;4,918326901;-31,88783108;994,9553841
0,04;;;0,637740333;0,228624885;0,362687177;0,639903072;1023,4375;20,41625977;73,73046875;22,91977566;-89,65505518;22,11250704;56,9375;14,65625;-0,152587891;-1,047729492;-0,083175659;0,414489746;130,7337486;4,705596608;9,82153795;0,404199079;0,084536433;0,449506698;0,792098747;538,5742188;841,796875;299,5605469;11,10860969;-123,267829;35,90652582;-6,2265625;57,65625;6,69140625;-0,352294922;-1,100708008;-0,039520264;138,6127189;41,22010129;17,76151768;0,590236651;-0,624008937;0,145964405;0,490844105;466,796875;720,2148438;618,6523438;-19,75379448;-111,8747229;51,87133247;-29,359375;107,4375;7,0859375;-0,413848877;-1,084716797;-0,459686279;-149,9679439;-28,39405369;63,1543022;-0,026652117;-0,544209388;0,48808785;0,681832866;-512,2070313;690,9179688;618,6523438;35,98273858;-79,91508331;55,82821842;-83,0625;13,9296875;-24;0,704101563;-0,834228516;-0,186126709;-122,7930949;23,96958351;128,4006229;-33,05352435;12,67250812;-60,17895477;37,19056624;-37,19056624;-15,88675409;15,88675409;16,71238761;-10,7767962;0,707102058;0,002584399;0,002584399;0,707102058;270,8652795;-4,736477868;1130,37601;299,6175034;31,09611317;1148,861178;283,0117686;15,3835477;1137,021981;444,312538;-65,6819564;984,6710682;433,9789661;-41,24433397;957,2795422;585,8316111;-118,7692765;873,5617747;4,937397598;-31,8465598;994,9661302
0,045;;;0,63716492;0,22997576;0,365042575;0,638651652;1020,507813;16,95251465;72,93701172;18,85796418;-90,69109783;19,04999522;56,21875;14,8359375;-0,2265625;-1,048461914;-0,082901001;0,413391113;130,4021007;4,718714099;9,90522265;0,403365883;0,084755837;0,45218362;0,790975591;526,8554688;828,125;300,2929688;14,0668475;-121,0557036;19,16201268;-7,3671875;57,1875;6,796875;-0,354248047;-1,099975586;-0,039886475;138,3778861;41,31702145;17,88922327;0,592329172;-0,624555389;0,147702344;0,487094176;438,4765625;728,0273438;594,2382813;-8,009187351;-140,6721008;27,40053386;-31,0625;110,5625;7,42578125;-0,411712647;-1,084228516;-0,464752197;-150,3519771;-28,80607358;63,38594567;-0,026081266;-0,547418921;0,487746064;0,679526356;-489,0136719;774,9023438;623,5351563;-42,56011012;-96,99737232;103,260736;-88,125;14,296875;-23,171875;0,706054688;-0,829833984;-0,19216919;-122,9420445;23,53471187;128,3975276;-33,03467108;12,53531039;-60,22604406;37,28855801;-37,28855801;-16,14233998;16,14233998;16,71479015;-11,11988556;0,707102058;0,002584399;0,002584399;0,707102058;271,1781062;-4,097872987;1130,442837;299,6816896;31,89626118;1148,999089;283,1944519;16,09029616;1137,118676;445,2346748;-64,16415668;985,1157942;434,9666419;-39,65325182;957,76513;587,741351;-116,0792219;874,7171533;4,956748075;-31,80468969;994,9772245
